id,category,question,correct_answer,explanation,options_json,image_paths_json,archive_url
18,Legal Matters/Rules of the Road,Where should L-plates be displayed on cars?,Both front and rear.,The holder of a learner permit must display L-plates on the front and rear of their car at all times when driving on public roads.,"[{""index"": 0, ""text"": ""On the front only."", ""is_correct"": false}, {""index"": 1, ""text"": ""Both front and rear."", ""is_correct"": true}, {""index"": 2, ""text"": ""On the driver's side only."", ""is_correct"": false}, {""index"": 3, ""text"": ""On the rear only."", ""is_correct"": false}]",[],https://web.archive.org/web/20200803020227id_/http://theory-tester.com:80/questions/18
19,Legal Matters/Rules of the Road,What is the maximum gross weight of a vehicle that may be driven by the holder of a Category B driving licence?,"3,500 kilograms","The holder of a Category B driving licence is not permitted to drive a vehicle with a design gross vehicle weight of more than 3,500 kg. This restriction is noted on the licence.","[{""index"": 0, ""text"": ""3,250 kilograms"", ""is_correct"": false}, {""index"": 1, ""text"": ""3,500 kilograms"", ""is_correct"": true}, {""index"": 2, ""text"": ""3,000 kilograms"", ""is_correct"": false}, {""index"": 3, ""text"": ""3,450 kilograms"", ""is_correct"": false}]",[],https://web.archive.org/web/20200803020232id_/http://theory-tester.com:80/questions/19
20,Legal Matters/Rules of the Road,When should children be allowed to drive a tractor?,Children should never be allowed to drive a tractor.,Persons under 16 years of age are not permitted to drive a tractor in a public place.,"[{""index"": 0, ""text"": ""Children should never be allowed to drive a tractor."", ""is_correct"": true}, {""index"": 1, ""text"": ""When it is being driven at very slow speeds and without a front loader."", ""is_correct"": false}, {""index"": 2, ""text"": ""When it is being driven at very slow speeds and not towing a trailer."", ""is_correct"": false}, {""index"": 3, ""text"": ""When accompanied by a fully licensed driver."", ""is_correct"": false}]",[],https://web.archive.org/web/20200803020242id_/http://theory-tester.com:80/questions/20
21,Legal Matters/Rules of the Road,What is the maximum permissible speed for cars and motorcycles on motorways?,120 km/h.,It is illegal to exceed 120 km/h when driving on a motorway.,"[{""index"": 0, ""text"": ""120 km/h."", ""is_correct"": true}, {""index"": 1, ""text"": ""80 km/h."", ""is_correct"": false}, {""index"": 2, ""text"": ""100 km/h."", ""is_correct"": false}, {""index"": 3, ""text"": ""60 km/h."", ""is_correct"": false}]",[],https://web.archive.org/web/20200803020247id_/http://theory-tester.com:80/questions/21
22,Legal Matters/Rules of the Road,"Unless otherwise indicated, what is the maximum permissible speed for cars or motorcycles on national roads?",100 km/h.,It is illegal to exceed 100 km/h when driving on a single carriageway national road.,"[{""index"": 0, ""text"": ""60 km/h."", ""is_correct"": false}, {""index"": 1, ""text"": ""80 km/h."", ""is_correct"": false}, {""index"": 2, ""text"": ""100 km/h."", ""is_correct"": true}, {""index"": 3, ""text"": ""120 km/h."", ""is_correct"": false}]",[],https://web.archive.org/web/20200803020252id_/http://theory-tester.com:80/questions/22
23,Control of Vehicle,What does this sign mean?,Tram lane on left.,This sign tells you there is a tram lane on the left. Be aware that there might be pedestrians in the area and crossing the road.,"[{""index"": 0, ""text"": ""Trams emerging from left."", ""is_correct"": false}, {""index"": 1, ""text"": ""Tram lane on left."", ""is_correct"": true}, {""index"": 2, ""text"": ""No parking inside the white line."", ""is_correct"": false}, {""index"": 3, ""text"": ""Bus and tram lane on left."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_jrDYK.png""]",https://web.archive.org/web/20251005164144id_/http://theory-tester.com/questions/23
24,Control of Vehicle,What does this sign mean?,Overhead electric cables.,This sign gives advance warning of electric cables overhead. Drivers with a high load should be particularly careful.,"[{""index"": 0, ""text"": ""Radio transmission mast ahead."", ""is_correct"": false}, {""index"": 1, ""text"": ""Overhead electric cables."", ""is_correct"": true}, {""index"": 2, ""text"": ""Sharp corners ahead."", ""is_correct"": false}, {""index"": 3, ""text"": ""Crosswinds ahead."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_BtRUM.png""]",https://web.archive.org/web/20260520015203id_/http://theory-tester.com/questions/24
25,Control of Vehicle,Who can use a signed cycle track accompanied by a continuous white line on the left-hand side?,Cyclists and users of motorised wheelchairs.,A cycle track is for the use of cyclists and motorised wheelchairs only. No other vehicles may cross into or over a mandatory cycle track unless this is necessary in order to leave or enter a side road or a property adjacent to the cycle track.,"[{""index"": 0, ""text"": ""Cyclists and users of motorised wheelchairs."", ""is_correct"": true}, {""index"": 1, ""text"": ""Drivers when overtaking a vehicle turning right."", ""is_correct"": false}, {""index"": 2, ""text"": ""Cyclists and motorcyclists."", ""is_correct"": false}, {""index"": 3, ""text"": ""Drivers, when it is not being used by a cyclist."", ""is_correct"": false}]",[],https://web.archive.org/web/20241109121546id_/http://theory-tester.com/questions/25
26,Control of Vehicle,What lights indicate a zebra crossing?,Flashing amber beacons.,A zebra crossing is indicated by amber flashing beacons on poles and black and white stripes on the road. You must stop for pedestrians on the crossing and for those about to cross.,"[{""index"": 0, ""text"": ""Flashing amber beacons."", ""is_correct"": true}, {""index"": 1, ""text"": ""Flashing red beacons."", ""is_correct"": false}, {""index"": 2, ""text"": ""Continuously lit amber beacons."", ""is_correct"": false}, {""index"": 3, ""text"": ""Continuously lit red beacons."", ""is_correct"": false}]",[],https://web.archive.org/web/20241213173354id_/http://theory-tester.com/questions/26
27,Control of Vehicle,What do temporary traffic lights at road works mean?,A driver must comply with the lights at all times.,You must comply with any temporary traffic lights used to control vehicle movements at or near road works. It is an offence not to obey these lights.,"[{""index"": 0, ""text"": ""A driver must comply with the lights at all times."", ""is_correct"": true}, {""index"": 1, ""text"": ""A driver must comply with the lights when workers are on site only."", ""is_correct"": false}, {""index"": 2, ""text"": ""A driver need not comply if a convoy of traffic is going in the same direction."", ""is_correct"": false}, {""index"": 3, ""text"": ""A driver need only comply when there is oncoming traffic."", ""is_correct"": false}]",[],https://web.archive.org/web/20240713183332id_/http://theory-tester.com/questions/27
28,Control of Vehicle,What do these signs together mean?,Pedestrianised street ahead - traffic not allowed except during times shown.,When posted together these signs tells you that there is a pedestrianised street ahead and that traffic is not allowed to enter except during the times stated on the information plate.,"[{""index"": 0, ""text"": ""Parking not allowed during times shown."", ""is_correct"": false}, {""index"": 1, ""text"": ""Access for buses and taxis only during times shown."", ""is_correct"": false}, {""index"": 2, ""text"": ""Pedestrianised street ahead - traffic not allowed except during times shown."", ""is_correct"": true}, {""index"": 3, ""text"": ""Clearway ahead - no stopping or parking during times shown."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_pv9Pq.png""]",https://web.archive.org/web/20260520004657id_/http://theory-tester.com/questions/28
29,Control of Vehicle,What does this sign mean?,Maximum permitted weight is 3 tonnes.,"This sign tells you that you must not enter this area if your vehicle is over 3 tonnes or 3,000 kg.","[{""index"": 0, ""text"": ""Maximum permitted weight is 3 tonnes."", ""is_correct"": true}, {""index"": 1, ""text"": ""Minimum permitted weight is 3 tonnes."", ""is_correct"": false}, {""index"": 2, ""text"": ""3-axled vehicles are not permitted."", ""is_correct"": false}, {""index"": 3, ""text"": ""Only 3-axled vehicles are permitted."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_rOcGJ.png""]",https://web.archive.org/web/20240713184526id_/http://theory-tester.com/questions/29
30,Control of Vehicle,What does this sign mean?,Parking of vehicles exceeding the weight shown is not allowed.,This sign tells you that you must not park in this area if your vehicle is over the weight limit indicated.,"[{""index"": 0, ""text"": ""Passing other traffic that exceeds the weight shown is not allowed."", ""is_correct"": false}, {""index"": 1, ""text"": ""Parking in loading area is not allowed."", ""is_correct"": false}, {""index"": 2, ""text"": ""Parking of vehicles exceeding the weight shown is not allowed."", ""is_correct"": true}, {""index"": 3, ""text"": ""Parking of vehicles under the weight shown is not allowed."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_an4DE.png""]",https://web.archive.org/web/20260218081346id_/http://theory-tester.com/questions/30
31,Control of Vehicle,What does this sign mean?,No overtaking.,"This sign tells you that overtaking is prohibited. These signs are usually found in places where overtaking may be dangerous, such as in areas with reduced visibility.","[{""index"": 0, ""text"": ""No overtaking."", ""is_correct"": true}, {""index"": 1, ""text"": ""No stopping/parking on the right."", ""is_correct"": false}, {""index"": 2, ""text"": ""End of dual carriageway."", ""is_correct"": false}, {""index"": 3, ""text"": ""Double parking not allowed."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_ajgZN.png""]",https://web.archive.org/web/20250816223821id_/http://theory-tester.com/questions/31
32,Control of Vehicle,What does this sign mean?,"Only buses, cyclists and taxis are allowed to use the lane ahead during the hours indicated.","This sign tells you there is a with-flow nearside bus lane ahead on the left – that is, one where the buses move in the same direction as the traffic to their right. The information plate tells the times when the bus lane is in operation. Only buses, taxis and cyclists may use the bus lane during those hours.","[{""index"": 0, ""text"": ""Only cyclists and buses are allowed to use the lane during the times indicated."", ""is_correct"": false}, {""index"": 1, ""text"": ""Only buses, cyclists and taxis are allowed to use the lane outside the hours indicated."", ""is_correct"": false}, {""index"": 2, ""text"": ""Only buses and cyclists may park during the times indicated."", ""is_correct"": false}, {""index"": 3, ""text"": ""Only buses, cyclists and taxis are allowed to use the lane ahead during the hours indicated."", ""is_correct"": true}]","[""data/assets/img/quiz-img/a_ZNVdx.png""]",https://web.archive.org/web/20241213180207id_/http://theory-tester.com/questions/32
33,Control of Vehicle,What does this sign mean?,With-flow bus and cycle lane ahead on left.,"This sign tells you there is a with-flow nearside bus lane ahead to the left. Only buses, taxis and cyclists may use the bus lane during the stated operational hours.","[{""index"": 0, ""text"": ""Only double-decker buses and cyclists may use lane."", ""is_correct"": false}, {""index"": 1, ""text"": ""Cyclists and buses must turn left."", ""is_correct"": false}, {""index"": 2, ""text"": ""With-flow bus and cycle lane ahead on left."", ""is_correct"": true}, {""index"": 3, ""text"": ""Only buses and cyclists may park."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_qjzzd.png""]",https://web.archive.org/web/20240713184445id_/http://theory-tester.com/questions/33
34,Control of Vehicle,What does this sign mean?,Bus and cycle lane ahead on right.,"This sign tells you that there is an offside bus lane ahead on the right. Only buses, taxis and cyclists may use the bus lane during the stated operational hours.","[{""index"": 0, ""text"": ""Cyclists must give way to buses ahead."", ""is_correct"": false}, {""index"": 1, ""text"": ""Buses must give way to other traffic ahead."", ""is_correct"": false}, {""index"": 2, ""text"": ""Buses must give way to cyclists ahead."", ""is_correct"": false}, {""index"": 3, ""text"": ""Bus and cycle lane ahead on right."", ""is_correct"": true}]","[""data/assets/img/quiz-img/a_TNTeM.png""]",https://web.archive.org/web/20240713185057id_/http://theory-tester.com/questions/34
35,Control of Vehicle,What does this sign mean?,With-flow bus lane on the right.,"This sign indicates a with-flow offside bus lane on the right. Only buses, taxis and cyclists may use the bus lane during the stated operational hours.","[{""index"": 0, ""text"": ""Buses may block the driver’s view of cyclists."", ""is_correct"": false}, {""index"": 1, ""text"": ""With-flow bus lane on the left."", ""is_correct"": false}, {""index"": 2, ""text"": ""Contra-flow bus lane ahead."", ""is_correct"": false}, {""index"": 3, ""text"": ""With-flow bus lane on the right."", ""is_correct"": true}]","[""data/assets/img/quiz-img/a_0P6qm.png""]",https://web.archive.org/web/20241004114757id_/http://theory-tester.com/questions/35
36,Control of Vehicle,What does this sign mean?,Contra-flow bus lane on the right.,This sign tells you that you must drive on the left and not use the contra-flow bus lane day or night. A contraflow bus lane is one where the buses are going in the opposite direction.,"[{""index"": 0, ""text"": ""Cycle track may be crossed by buses."", ""is_correct"": false}, {""index"": 1, ""text"": ""With-flow bus lane to right."", ""is_correct"": false}, {""index"": 2, ""text"": ""Contra-flow bus lane on the right."", ""is_correct"": true}, {""index"": 3, ""text"": ""Buses emerging from right."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_Xig8T.png""]",https://web.archive.org/web/20241004115717id_/http://theory-tester.com/questions/36
37,Control of Vehicle,What does this sign mean?,Contra-flow bus lane.,This sign tells you that you must drive on the left and not use the contra-flow bus lane day or night. A contra-flow bus lane is one where the buses are going in the opposite direction.,"[{""index"": 0, ""text"": ""Contra-flow bus lane."", ""is_correct"": true}, {""index"": 1, ""text"": ""With-flow bus lane."", ""is_correct"": false}, {""index"": 2, ""text"": ""Double-decker buses only."", ""is_correct"": false}, {""index"": 3, ""text"": ""Two-way traffic system."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_xArHX.png""]",https://web.archive.org/web/20260520012353id_/http://theory-tester.com/questions/37
38,Control of Vehicle,What does this sign mean?,Tram lane on right.,This sign tells you there is an offside tram lane on the right. Drivers should also be aware that there might be pedestrians in the area.,"[{""index"": 0, ""text"": ""Tram lane on left."", ""is_correct"": false}, {""index"": 1, ""text"": ""Tram lane on right."", ""is_correct"": true}, {""index"": 2, ""text"": ""Parking only inside the white line."", ""is_correct"": false}, {""index"": 3, ""text"": ""With-flow bus lane ahead."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_UDn6I.png""]",https://web.archive.org/web/20250327042720id_/http://theory-tester.com/questions/38
39,Control of Vehicle,What does this sign mean?,Y-junction where main road bears to the left.,This sign gives advance warning of a Y-junction with a minor road ahead. The wider arm of the Y indicates the course of the main road.,"[{""index"": 0, ""text"": ""Y-junction where main road bears to the left."", ""is_correct"": true}, {""index"": 1, ""text"": ""Y-junction where heavy vehicles must go left."", ""is_correct"": false}, {""index"": 2, ""text"": ""Y-junction where vehicles must go left."", ""is_correct"": false}, {""index"": 3, ""text"": ""Y-junction where main road bears to the right."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_dDbCa.png""]",https://web.archive.org/web/20260314142715id_/http://theory-tester.com/questions/39
40,Control of Vehicle,What does this sign mean?,Y-junction ahead with roads of equal importance.,This sign gives advance warning of a Y-junction ahead with roads of equal importance. Approach such a junction with caution and be prepared to react to any changes in the traffic situation.,"[{""index"": 0, ""text"": ""Junction ahead with dual carriageway."", ""is_correct"": false}, {""index"": 1, ""text"": ""Y-junction ahead with roads of lesser importance."", ""is_correct"": false}, {""index"": 2, ""text"": ""Y-junction ahead with roads of equal importance."", ""is_correct"": true}, {""index"": 3, ""text"": ""Minor road ahead."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_en1D1.png""]",https://web.archive.org/web/20251207161635id_/http://theory-tester.com/questions/40
41,Control of Vehicle,What does this sign mean?,Crossroads with major road ahead.,This sign gives advance warning of a crossroads junction with a major road ahead. Be prepared to stop.,"[{""index"": 0, ""text"": ""T-junction ahead with roads of major importance."", ""is_correct"": false}, {""index"": 1, ""text"": ""Crossroads with major road ahead."", ""is_correct"": true}, {""index"": 2, ""text"": ""Crossroads with dual carriageway ahead."", ""is_correct"": false}, {""index"": 3, ""text"": ""Road passing under a bridge ahead."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_8365z.png""]",https://web.archive.org/web/20250520200801id_/http://theory-tester.com/questions/41
42,Control of Vehicle,What does this sign mean?,T-junction ahead with a road of major importance.,This sign gives advance warning of a T-junction ahead with a major road. Be prepared to yield or stop as necessary.,"[{""index"": 0, ""text"": ""T-junction ahead with a road of minor importance."", ""is_correct"": false}, {""index"": 1, ""text"": ""T-junction ahead with a road of major importance."", ""is_correct"": true}, {""index"": 2, ""text"": ""Cul-de-sac to the right."", ""is_correct"": false}, {""index"": 3, ""text"": ""Cul-de-sac to the left and right."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_iZQtQ.png""]",https://web.archive.org/web/20260520013019id_/http://theory-tester.com/questions/42
43,Control of Vehicle,What does this sign mean?,Crossroads with dual carriageway ahead.,"This sign gives advance warning of a crossroads junction at a dual carriageway ahead. Drivers need to be observant, taking extra care for traffic coming from each direction. Yield and/or stop as appropriate.","[{""index"": 0, ""text"": ""T-junction with crossroads ahead."", ""is_correct"": false}, {""index"": 1, ""text"": ""Unguarded level crossing ahead."", ""is_correct"": false}, {""index"": 2, ""text"": ""Level crossing ahead guarded by gates."", ""is_correct"": false}, {""index"": 3, ""text"": ""Crossroads with dual carriageway ahead."", ""is_correct"": true}]","[""data/assets/img/quiz-img/a_qcUrO.png""]",https://web.archive.org/web/20250520202811id_/http://theory-tester.com/questions/43
44,Control of Vehicle,What does this sign mean?,T-junction with dual carriageway ahead.,"This sign gives advance warning of a T-junction at a dual carriageway ahead. Drivers need to be observant, taking extra care for traffic coming from each direction. Yield and/or stop as appropriate.","[{""index"": 0, ""text"": ""Guarded level crossing ahead."", ""is_correct"": false}, {""index"": 1, ""text"": ""Unguarded level crossing ahead."", ""is_correct"": false}, {""index"": 2, ""text"": ""T-junction with dual carriageway ahead."", ""is_correct"": true}, {""index"": 3, ""text"": ""Low bridge ahead."", ""is_correct"": false}]","[""data/assets/img/quiz-img/a_Zz2dP.png""]",https://web.archive.org/web/20251207165010id_/http://theory-tester.com/questions/44
