variant_group_id,canonical_question_id,question_id,correct_index,correct_answer,review_status,image_scenario_variant
vg_f549c76187f8,126,126,1,"Stop, unless it is unsafe to do so.",answer_variant_review,false
vg_f549c76187f8,126,127,0,The driver may proceed in the direction of the green arrow if the way is clear.,answer_variant_review,false
vg_f549c76187f8,126,128,2,Traffic must stop at the traffic light.,answer_variant_review,false
vg_f549c76187f8,126,129,3,Traffic may proceed if the way is clear.,answer_variant_review,false
vg_f549c76187f8,126,241,1,Traffic turning left may proceed if the way is clear.,answer_variant_review,false
vg_f549c76187f8,126,342,1,The battery is not charging.,answer_variant_review,false
vg_f549c76187f8,126,927,0,"Stop, unless it would be unsafe to do so.",answer_variant_review,false
vg_f549c76187f8,126,1200,3,The high-beam headlights are switched on.,answer_variant_review,false
vg_f549c76187f8,126,1201,0,Low oil level.,answer_variant_review,false
vg_f549c76187f8,126,1202,1,Directional indicator on.,answer_variant_review,false
vg_fe738827d09a,131,131,2,"Stop, unless it is unsafe to do so.",answer_variant_review,false
vg_fe738827d09a,131,974,2,"Stop, unless it is not safe.",answer_variant_review,false
vg_3b0d0a69af9b,160,160,2,The cyclist intends to go straight on.,answer_variant_review,false
vg_3b0d0a69af9b,160,232,0,The cyclist intends to move out or turn right.,answer_variant_review,false
vg_3b0d0a69af9b,160,233,1,The cyclist intends to slow down or stop.,answer_variant_review,false
vg_3b0d0a69af9b,160,234,1,The cyclist intends to turn right.,answer_variant_review,false
vg_3b0d0a69af9b,160,235,1,The driver intends to proceed straight ahead.,answer_variant_review,false
vg_3b0d0a69af9b,160,911,3,The cyclist intends to turn left.,answer_variant_review,false
vg_3b0d0a69af9b,160,912,2,The driver intends to turn left.,answer_variant_review,false
vg_3b0d0a69af9b,160,913,1,The driver intends to move out or turn right.,answer_variant_review,false
vg_3b0d0a69af9b,160,915,3,The driver intends to slow down or stop.,answer_variant_review,false
vg_3b0d0a69af9b,160,916,1,The driver intends to turn right.,answer_variant_review,false
vg_3b0d0a69af9b,160,917,2,The driver intends to move straight ahead.,answer_variant_review,false
vg_d45488b68528,165,165,1,Contra-flow bus lane on the right.,answer_variant_review,false
vg_d45488b68528,165,166,0,Contra-flow bus lane.,answer_variant_review,false
vg_1f0c3559c4bb,198,198,1,Under no circumstances should a tax disc be transferred to another vehicle.,answer_variant_review,false
vg_1f0c3559c4bb,198,521,1,No. Tax discs are not transferable.,answer_variant_review,false
vg_3312482773fd,248,248,1,There may be a slow-moving vehicle in your lane.,answer_variant_review,false
vg_3312482773fd,248,249,0,A vehicle may have broken down.,answer_variant_review,false
vg_3312482773fd,248,250,3,An oncoming vehicle may be straddling part of your lane.,answer_variant_review,false
vg_3312482773fd,248,251,0,There may be oncoming pedestrians.,answer_variant_review,false
vg_3312482773fd,248,252,0,There may be livestock on the road.,answer_variant_review,false
vg_3312482773fd,248,716,3,There may be a slow moving vehicle in your lane.,answer_variant_review,false
vg_3312482773fd,248,718,0,There may be oncoming pedestrians.,answer_variant_review,false
vg_3312482773fd,248,719,0,There may be livestock on the road.,answer_variant_review,false
vg_3312482773fd,248,720,0,There may be hedge-cutting taking place.,answer_variant_review,false
vg_848342a64b06,248,248,1,There may be a slow-moving vehicle in your lane.,answer_variant_review,false
vg_848342a64b06,248,249,0,A vehicle may have broken down.,answer_variant_review,false
vg_848342a64b06,248,250,3,An oncoming vehicle may be straddling part of your lane.,answer_variant_review,false
vg_848342a64b06,248,251,0,There may be oncoming pedestrians.,answer_variant_review,false
vg_848342a64b06,248,252,0,There may be livestock on the road.,answer_variant_review,false
vg_6aee662ff433,262,262,1,Take care when moving damaged vehicles and make every effort to warn other traffic.,answer_variant_review,false
vg_6aee662ff433,262,1178,0,Mark the position of the vehicles and move them off the road.,answer_variant_review,false
vg_c7aa38b871eb,266,266,1,Try to keep the person warm with a blanket or overcoat.,answer_variant_review,false
vg_c7aa38b871eb,266,1183,3,Loosen tight clothing around the neck and keep the person warm with a blanket or overcoat.,answer_variant_review,false
vg_4aa5ff8666cf,268,268,2,Animals could suddenly appear on the road ahead.,answer_variant_review,false
vg_4aa5ff8666cf,268,987,0,Oncoming traffic may cut the corner.,answer_variant_review,false
vg_d445c5799a7f,269,269,2,Keep well clear and call the emergency services.,answer_variant_review,false
vg_d445c5799a7f,269,1189,2,Keep well clear and raise the alarm.,answer_variant_review,false
vg_86653f03481c,273,273,1,It would reduce the driver's ability to control the vehicle.,answer_variant_review,false
vg_86653f03481c,273,1193,1,It would reduce the drivers ability to control the vehicle.,answer_variant_review,false
vg_4c4d9749624d,274,274,0,It could make the vehicle unstable while turning.,answer_variant_review,false
vg_4c4d9749624d,274,1194,0,It could make the vehicle unstable while turning a corner or braking.,answer_variant_review,false
vg_88c761656d3f,276,276,1,Daily before driving.,answer_variant_review,false
vg_88c761656d3f,276,1195,3,Regularly.,answer_variant_review,false
vg_85cc3f018a04,280,280,2,"No, it is never permitted to be driven.",answer_variant_review,false
vg_85cc3f018a04,280,1199,3,"No, the driver is never permitted to be driven.",answer_variant_review,false
vg_5c44966b6c7f,293,293,1,Fuel consumption.,answer_variant_review,false
vg_5c44966b6c7f,293,1228,1,Braking ability.,answer_variant_review,false
vg_3ae05fb7df28,293,293,1,Fuel consumption.,answer_variant_review,false
vg_3ae05fb7df28,293,1228,1,Braking ability.,answer_variant_review,false
vg_3ae05fb7df28,293,1242,1,Steering.,answer_variant_review,false
vg_a99da8af234b,301,301,2,Seatbelts.,answer_variant_review,false
vg_a99da8af234b,301,1198,1,Headlights.,answer_variant_review,false
vg_aeca9de65171,302,302,3,Have extended mirrors fitted to the towing vehicle.,answer_variant_review,false
vg_aeca9de65171,302,335,1,Have extended mirrors fitted to the towing vehicle.,answer_variant_review,false
vg_aeca9de65171,302,1256,2,Have extended mirrors fitted to the towing vehicle and use them regularly.,answer_variant_review,false
vg_8273348f9898,304,304,1,It can seriously reduce visibility.,answer_variant_review,false
vg_8273348f9898,304,1259,0,It can create a mirror effect and reduce visibility.,answer_variant_review,false
vg_e6fb94495376,304,304,1,It can seriously reduce visibility.,answer_variant_review,false
vg_e6fb94495376,304,332,1,It can seriously reduce visibility.,answer_variant_review,false
vg_e6fb94495376,304,1259,0,It can create a mirror effect and reduce visibility.,answer_variant_review,false
vg_26427cdd012b,311,311,2,That the load is evenly spread.,answer_variant_review,false
vg_26427cdd012b,311,312,1,That the trailer coupling is attached securely.,answer_variant_review,false
vg_e7be83b6b85a,311,311,2,That the load is evenly spread.,answer_variant_review,false
vg_e7be83b6b85a,311,312,1,That the trailer coupling is attached securely.,answer_variant_review,false
vg_e7be83b6b85a,311,729,2,That the load is evenly spread.,answer_variant_review,false
vg_e7be83b6b85a,311,1287,2,That the trailer coupling is attached securely.,answer_variant_review,false
vg_7e50af61b5a4,314,314,0,When the vehicle has broken down.,answer_variant_review,false
vg_7e50af61b5a4,314,315,1,When causing an unavoidable obstruction.,answer_variant_review,false
vg_7e50af61b5a4,314,316,2,When broken down and causing an obstruction.,answer_variant_review,false
vg_7e50af61b5a4,314,840,1,When the vehicle has broken down.,answer_variant_review,false
vg_7e50af61b5a4,314,1293,2,When the vehicle has broken down.,answer_variant_review,false
vg_75c913770ff9,315,315,1,When causing an unavoidable obstruction.,answer_variant_review,false
vg_75c913770ff9,315,316,2,When broken down and causing an obstruction.,answer_variant_review,false
vg_f167185eb827,315,315,1,When causing an unavoidable obstruction.,answer_variant_review,false
vg_f167185eb827,315,316,2,When broken down and causing an obstruction.,answer_variant_review,false
vg_f167185eb827,315,1293,2,When the vehicle has broken down.,answer_variant_review,false
vg_b407e190032b,321,321,2,Have the wiper blades replaced as soon as possible.,answer_variant_review,false
vg_b407e190032b,321,859,0,Have the blades replaced as soon as possible.,answer_variant_review,false
vg_44f7eeb56f53,322,322,0,Use a roadside phone to contact Gardaí and never try to carry out repairs yourself.,answer_variant_review,false
vg_44f7eeb56f53,322,331,0,Move the vehicle to the hard shoulder.,answer_variant_review,false
vg_3c14c5a9eec2,324,324,1,The passenger only.,answer_variant_review,false
vg_3c14c5a9eec2,324,786,1,The passengers only.,answer_variant_review,false
vg_16b7fe69a5ef,324,324,1,The passenger only.,answer_variant_review,false
vg_16b7fe69a5ef,324,325,0,The driver only.,answer_variant_review,false
vg_16b7fe69a5ef,324,786,1,The passengers only.,answer_variant_review,false
vg_16b7fe69a5ef,324,1307,2,The driver.,answer_variant_review,false
vg_9428dd35201b,330,330,0,When the vehicle has broken down.,answer_variant_review,false
vg_9428dd35201b,330,767,1,When slowing down quickly because of danger ahead.,answer_variant_review,false
vg_9428dd35201b,330,801,0,When slowing down quickly because of danger ahead.,answer_variant_review,false
vg_da5a0381b398,330,330,0,When the vehicle has broken down.,answer_variant_review,false
vg_da5a0381b398,330,767,1,When slowing down quickly because of danger ahead.,answer_variant_review,false
vg_da5a0381b398,330,801,0,When slowing down quickly because of danger ahead.,answer_variant_review,false
vg_da5a0381b398,330,1252,0,When the vehicle has broken down.,answer_variant_review,false
vg_5f8c6231891b,342,342,1,The battery is not charging.,answer_variant_review,false
vg_5f8c6231891b,342,1200,3,The high-beam headlights are switched on.,answer_variant_review,false
vg_5f8c6231891b,342,1201,0,Low oil level.,answer_variant_review,false
vg_5f8c6231891b,342,1202,1,Directional indicator on.,answer_variant_review,false
vg_af9e13833fd8,345,345,0,Be patient.,answer_variant_review,false
vg_af9e13833fd8,345,388,0,Be patient and show restraint.,answer_variant_review,false
vg_59d2a920f096,347,347,0,The driver should be aware that the lights may change before they reach them and be prepared to stop.,answer_variant_review,false
vg_59d2a920f096,347,1001,0,The driver should prepare to stop in case the lights change before they reach them.,answer_variant_review,false
vg_eafebc68f2b2,348,348,1,Treat it as an unmarked junction and proceed cautiously while watching out for other traffic.,answer_variant_review,false
vg_eafebc68f2b2,348,1002,0,Treat the junction as an unmarked junction and proceed cautiously while watching out for other traffic.,answer_variant_review,false
vg_250c475d4ed8,352,352,0,That the oncoming vehicle may be slow moving or extra wide.,answer_variant_review,false
vg_250c475d4ed8,352,1006,0,That the oncoming traffic maybe slow moving or extra wide.,answer_variant_review,false
vg_1954c4623b44,353,353,3,Slow down and prepare to stop.,answer_variant_review,false
vg_1954c4623b44,353,1007,3,Slow down and be prepared to stop.,answer_variant_review,false
vg_afb24a910455,354,354,3,There may be an uneven surface and tyre grip may be reduced when crossing the rails.,answer_variant_review,false
vg_afb24a910455,354,1008,2,There may be an uneven surface and tyre grip may be reduced when crossing.,answer_variant_review,false
vg_28608e221367,363,363,3,Slow down and allow extra clearance to all traffic until they have gone past the area with the loose chippings.,answer_variant_review,false
vg_28608e221367,363,405,0,Slow down and allow extra clearance to other traffic.,answer_variant_review,false
vg_1acd80dd1de9,365,365,1,Drive at lower speeds and use gentle acceleration and braking.,answer_variant_review,false
vg_1acd80dd1de9,365,408,0,Drive at lower speeds and use gentle acceleration and braking.,answer_variant_review,false
vg_1acd80dd1de9,365,436,3,Use gentle acceleration and braking.,answer_variant_review,false
vg_e690597e4266,369,369,2,Overtake on the left-hand side and carry on if safe to do so.,answer_variant_review,false
vg_e690597e4266,369,414,2,Overtake on the left-hand side and carry on if safe to do so.,answer_variant_review,false
vg_e690597e4266,369,823,0,Overtake on the left-hand side and carry on.,answer_variant_review,false
vg_3b8a379624a9,376,376,3,The driver should stay well back in a safe position.,answer_variant_review,false
vg_3b8a379624a9,376,1028,0,The driver should stay well back until the road widens sufficiently to allow safe overtaking.,answer_variant_review,false
vg_c5f1081bfaec,379,379,2,Stop back safely and wait until the way is clear.,answer_variant_review,false
vg_c5f1081bfaec,379,1029,3,Stop and wait until your way is clear.,answer_variant_review,false
vg_b09fa82da05f,381,381,3,"Yes, temporarily when the hard shoulder is clear and it is safe to drive there.",answer_variant_review,false
vg_b09fa82da05f,381,1031,1,"Yes, temporarily when the hard shoulder is clear, and it is safe to drive there while the faster traffic overtakes.",answer_variant_review,false
vg_2096a07d289b,382,382,1,Reduce speed and use dipped headlights.,answer_variant_review,false
vg_2096a07d289b,382,506,0,Reduce speed and use dipped headlights.,answer_variant_review,false
vg_2096a07d289b,382,1056,0,Drive with dipped headlights and fog lights.,answer_variant_review,false
vg_716e44f50d86,384,384,0,Initially drive with extra care and at a lower speed until fully familiar with the vehicle.,answer_variant_review,false
vg_716e44f50d86,384,1035,1,Drive initially with extra care and at a lower speed than normal.,answer_variant_review,false
vg_1249b1fa6f60,390,390,0,Allow the overtaking vehicle to pass and return safely to the left side of the road.,answer_variant_review,false
vg_1249b1fa6f60,390,1038,3,Reduce speed and allow the overtaking vehicle to return to the left side of the road after completing the overtaking manoeuvre.,answer_variant_review,false
vg_9628c511058c,392,392,2,Stop at a safe place and change the wheel.,answer_variant_review,false
vg_9628c511058c,392,1040,3,Stop at a safe place and change the tyre.,answer_variant_review,false
vg_db9f034a351b,395,395,3,It reduces concentration.,answer_variant_review,false
vg_db9f034a351b,395,1042,2,It makes the driver drowsy.,answer_variant_review,false
vg_6c1cd7dfe410,397,397,2,"Generally, it doubles the braking distance of that required on a dry surface.",answer_variant_review,false
vg_6c1cd7dfe410,397,1044,2,Generally. it doubles the normal braking distance required on a dry surface.,answer_variant_review,false
vg_9e683d3c1131,398,398,2,Gradually move back into the left when the vehicle has been passed.,answer_variant_review,false
vg_9e683d3c1131,398,1045,0,Gradually move back into the left when the vehicle has been overtaken.,answer_variant_review,false
vg_4b8999710062,416,416,2,Check that the road is not one way.,answer_variant_review,false
vg_4b8999710062,416,1023,0,Check ahead and behind for approaching traffic.,answer_variant_review,false
vg_5f057c605fdf,418,418,0,"Take good observation, wait for a clear break in the traffic and proceed to cross the road safely.",answer_variant_review,false
vg_5f057c605fdf,418,1026,2,"Take good observations, wait for a clear break in the traffic and proceed to cross the road.",answer_variant_review,false
vg_a51fd9fd276c,420,420,1,Look towards the verge and slow down and stop if necessary.,answer_variant_review,false
vg_a51fd9fd276c,420,455,0,Look towards the verge and slow down and stop if necessary.,answer_variant_review,false
vg_a51fd9fd276c,420,1060,1,Look away and slow down and stop if necessary.,answer_variant_review,false
vg_18eeda465fb0,424,424,0,Avoid looking directly at the oncoming vehicle's lights.,answer_variant_review,false
vg_18eeda465fb0,424,1064,1,Not look directly at the oncoming vehicle's lights.,answer_variant_review,false
vg_4970a695a721,428,428,3,That there is a danger of themselves or other drivers falling asleep.,answer_variant_review,false
vg_4970a695a721,428,1068,1,That there is a danger of falling asleep.,answer_variant_review,false
vg_49cf4eb3192f,429,429,2,Drive in the left-hand lane unless intending to overtake.,answer_variant_review,false
vg_49cf4eb3192f,429,1094,0,Be alert for other drivers who may suddenly change lane or reduce speed.,answer_variant_review,false
vg_0d71423fa340,439,439,3,Be aware that the vehicle may slide or ?aquaplane?.,answer_variant_review,false
vg_0d71423fa340,439,1078,1,Be in the alert for skidding or aquaplaning .,answer_variant_review,false
vg_abb02c4eb817,444,444,2,Drive in a low gear as slowly as possible keeping the revs high.,answer_variant_review,false
vg_abb02c4eb817,444,822,3,Reduce speed and use a lower gear.,answer_variant_review,false
vg_26b70a6f56b8,446,446,1,Narrower lanes than usual and restricted shoulder areas.,answer_variant_review,false
vg_26b70a6f56b8,446,629,2,Narrower lanes than usual and restricted shoulder areas.,answer_variant_review,false
vg_26b70a6f56b8,446,1084,3,That the surface may be slippery due to mud or loose chippings.,answer_variant_review,false
vg_d29231b70bf3,448,448,2,"Give way to cyclists, taxis and buses which may be using the bus lane.",answer_variant_review,false
vg_d29231b70bf3,448,1087,1,"Watch out for cyclists, taxis and buses which may be using the bus lane.",answer_variant_review,false
vg_061fee673014,456,456,0,A driver is never permitted to pick up or set down passengers on a motorway.,answer_variant_review,false
vg_061fee673014,456,1097,3,No. this is not permitted.,answer_variant_review,false
vg_053964834918,471,471,1,Keep a safe distance from the vehicle in front.,answer_variant_review,false
vg_053964834918,471,1118,0,Switch on dipped headlights.,answer_variant_review,false
vg_053964834918,471,1119,1,"Keep a safe distance from the vehicle in front and remove sunglasses, if you are wearing them.",answer_variant_review,false
vg_95a692fe4418,474,474,1,Maintain a distance behind to avoid undue pressure.,answer_variant_review,false
vg_95a692fe4418,474,631,0,Maintain a distance behind to avoid undue pressure.,answer_variant_review,false
vg_95a692fe4418,474,1124,1,Be patient and allow extra time to the driver if necessary.,answer_variant_review,false
vg_95a692fe4418,474,1125,0,Stay back until the driver can overtake safely.,answer_variant_review,false
vg_6e8e83015ac5,479,479,0,Cyclists.,answer_variant_review,false
vg_6e8e83015ac5,479,1134,1,Motorcyclists.,answer_variant_review,false
vg_f98f542809f3,479,479,0,Cyclists.,answer_variant_review,false
vg_f98f542809f3,479,1134,1,Motorcyclists.,answer_variant_review,false
vg_f98f542809f3,479,1135,3,Pedestrians.,answer_variant_review,false
vg_0fb5501ec862,490,490,0,Signal their intention to overtake the pedestrians.,answer_variant_review,false
vg_0fb5501ec862,490,1154,2,Signal to following traffic their intention to overtake the pedestrians.,answer_variant_review,false
vg_1eaa74c9f446,491,491,1,Cyclists are much more vulnerable in poor lighting conditions.,answer_variant_review,false
vg_1eaa74c9f446,491,492,0,That there could be vulnerable pedestrians walking on the road.,answer_variant_review,false
vg_1eaa74c9f446,491,493,1,Schoolchildren are more vulnerable on unlit country roads on dark winter mornings and evenings.,answer_variant_review,false
vg_b54cece4047a,491,491,1,Cyclists are much more vulnerable in poor lighting conditions.,answer_variant_review,false
vg_b54cece4047a,491,492,0,That there could be vulnerable pedestrians walking on the road.,answer_variant_review,false
vg_b54cece4047a,491,493,1,Schoolchildren are more vulnerable on unlit country roads on dark winter mornings and evenings.,answer_variant_review,false
vg_b54cece4047a,491,895,2,Cyclists are much more vulnerable in poor lighting conditions.,answer_variant_review,false
vg_b54cece4047a,491,1155,2,Cyclists are much more vulnerable in poor lighting conditions.,answer_variant_review,false
vg_b54cece4047a,491,1156,2,A driver should take extra care for cyclists and pedestrians in the countryside as they may not be clearly visible.,answer_variant_review,false
vg_21cf8c61f215,495,495,2,Carry a suitable fire extinguisher in the vehicle.,answer_variant_review,false
vg_21cf8c61f215,495,1251,3,Investigate strong fumes and carry a fire extinguisher.,answer_variant_review,false
vg_91b4588baaf7,500,500,1,Watch out for pedestrians wearing dark clothing.,answer_variant_review,false
vg_91b4588baaf7,500,1150,1,Watch out for cars parked on the left.,answer_variant_review,false
vg_91b4588baaf7,500,1151,0,Watch out for stray animals or livestock.,answer_variant_review,false
vg_9ad310341825,504,504,0,Reduce speed as there may be loose gravel or mud on the road.,answer_variant_review,false
vg_9ad310341825,504,1036,0,Reduce speed as there maybe loose gravel or mud on the road.,answer_variant_review,false
vg_6902a76edbb7,508,508,0,Two non-motorway lanes in one direction and one non-motorway lane in the opposite direction.,answer_variant_review,false
vg_6902a76edbb7,508,1092,3,Two lanes of traffic in one direction and one in the opposite direction.,answer_variant_review,false
vg_c55b0783405e,513,513,1,Pedestrians.,answer_variant_review,false
vg_c55b0783405e,513,1129,3,Motorcyclists.,answer_variant_review,false
vg_77be51794d54,517,517,0,Reduced fuel consumption.,answer_variant_review,false
vg_77be51794d54,517,688,3,Improved road safety.,answer_variant_review,false
vg_77be51794d54,517,689,3,Increased fuel efficiency.,answer_variant_review,false
vg_a9b2e2dbe3d5,517,517,0,Reduced fuel consumption.,answer_variant_review,false
vg_a9b2e2dbe3d5,517,688,3,Improved road safety.,answer_variant_review,false
vg_a9b2e2dbe3d5,517,689,3,Increased fuel efficiency.,answer_variant_review,false
vg_a9b2e2dbe3d5,517,1246,1,Increased road safety.,answer_variant_review,false
vg_a9b2e2dbe3d5,517,1247,2,Reduced emissions.,answer_variant_review,false
vg_ce782294e6c5,518,518,2,Selecting a high gear as soon as possible.,answer_variant_review,false
vg_ce782294e6c5,518,690,0,Maintaining a steady speed.,answer_variant_review,false
vg_ce782294e6c5,518,691,0,Looking ahead and anticipating.,answer_variant_review,false
vg_d05e4120d9de,534,534,3,Because the required stopping distances is greater.,answer_variant_review,false
vg_d05e4120d9de,534,983,1,Because wheel-spray may impair visibility.,answer_variant_review,false
vg_d05e4120d9de,534,984,2,Because stopping distances are greater.,answer_variant_review,false
vg_10c4b69d2ca5,541,541,3,Keep a safe distance from the vehicle in front.,answer_variant_review,false
vg_10c4b69d2ca5,541,542,3,Scan the road well ahead.,answer_variant_review,false
vg_553a96c62bac,543,543,1,Use the emergency telephone to call for help.,answer_variant_review,false
vg_553a96c62bac,543,577,3,Switch on the hazard warning lights.,answer_variant_review,false
vg_553a96c62bac,543,637,2,Use the emergency telephone to call for help.,answer_variant_review,false
vg_553a96c62bac,543,638,3,Switch on the hazard warning lights.,answer_variant_review,false
vg_553a96c62bac,543,712,3,Use the emergency telephone to call for help.,answer_variant_review,false
vg_2fd1b2548aa8,559,559,0,"At night, when walking outside built-up areas.",answer_variant_review,false
vg_2fd1b2548aa8,559,937,2,At all times outside well-lit urban areas.,answer_variant_review,false
vg_00ba0dc98eb1,562,562,1,When the vehicle in front is signalling to turn right or in slow moving lanes of traffic.,answer_variant_review,false
vg_00ba0dc98eb1,562,645,3,When the vehicle in front is signalling to turn right or in slow moving lanes of traffic.,answer_variant_review,false
vg_00ba0dc98eb1,562,943,2,When the vehicle in front is signaling to turn right or in slow moving lanes of traffic.,answer_variant_review,false
vg_532cb866e9f0,565,565,2,Drivers should be aware that loud noises from their vehicle may frighten the horses and cause them to bolt.,answer_variant_review,false
vg_532cb866e9f0,565,1005,0,Drivers should be aware that loud noises from your vehicle may frighten the horses and cause them to bolt.,answer_variant_review,false
vg_5dfcdbd2e920,568,568,0,Indicate in good time and pull in gradually to allow the vehicle behind extra stopping distance.,answer_variant_review,false
vg_5dfcdbd2e920,568,1010,0,Indicate in good time and pull up gradually to allow the vehicle behind extra stopping distance.,answer_variant_review,false
vg_045ad6e3b9b4,574,574,3,Clean them with a cloth or tissue before starting their journey.,answer_variant_review,false
vg_045ad6e3b9b4,574,1222,2,Clean them with a cloth or tissue before continuing on.,answer_variant_review,false
vg_e61a157fde06,576,576,1,Water droplets can obscure the reflected image.,answer_variant_review,false
vg_e61a157fde06,576,627,2,It can distort the rear vision of the driver.,answer_variant_review,false
vg_5f5a66eb1fe4,580,580,2,It filters exhaust gases and reduces air pollution.,answer_variant_review,false
vg_5f5a66eb1fe4,580,612,1,To reduce harmful exhaust emissions.,answer_variant_review,false
vg_5f5a66eb1fe4,580,732,0,To reduce harmful exhaust emissions.,answer_variant_review,false
vg_77cace7902ce,582,582,1,Use gentle acceleration and braking.,answer_variant_review,false
vg_77cace7902ce,582,1237,0,Use gently acceleration and braking.,answer_variant_review,false
vg_9b6e3935bf7a,586,586,1,Between 11:30 pm and 7:00 am in a built-up area.,answer_variant_review,false
vg_9b6e3935bf7a,586,1238,1,Between 11:30pm and 7:00am in a built-up area.,answer_variant_review,false
vg_6b125c19f546,597,597,1,Ask someone to guide you when reversing.,answer_variant_review,false
vg_6b125c19f546,597,1263,3,Ask someone to assist when reversing.,answer_variant_review,false
vg_12f772529d66,598,598,0,Increase the air circulation and stop if necessary.,answer_variant_review,false
vg_12f772529d66,598,1265,0,Increase the air circulation and make regular stops if necessary.,answer_variant_review,false
vg_9e110f08d039,599,599,1,In dense fog or falling snow.,answer_variant_review,false
vg_9e110f08d039,599,600,1,When driving in dense fog or falling snow.,answer_variant_review,false
vg_741fb527faec,625,625,2,Apply the footbrake firmly.,answer_variant_review,false
vg_741fb527faec,625,1317,1,Maintain firm pressure on the footbrake.,answer_variant_review,false
vg_741fb527faec,625,1318,3,Press the footbrake firmly.,answer_variant_review,false
vg_7ee8a518762c,634,634,2,Switch on hazard warning lights.,answer_variant_review,false
vg_7ee8a518762c,634,635,0,Switch off the engine.,answer_variant_review,false
vg_29e81db00d0d,640,640,2,"Adjust speed to match that of the motorway traffic, and merge into a suitable gap.",answer_variant_review,false
vg_29e81db00d0d,640,1096,2,Try to match the vehicle speed to that of traffic already on the motorway and merge into it in a suitable gap.,answer_variant_review,false
vg_96efb34e09f5,646,646,1,Between 71-90,answer_variant_review,false
vg_96efb34e09f5,646,879,3,71 – 90,answer_variant_review,false
vg_94e9fbda3c90,680,680,3,Switch off the engine and switch on the hazard lights.,answer_variant_review,false
vg_94e9fbda3c90,680,1121,0,Switch on hazard lights and stop as close to the left-hand side as possible.,answer_variant_review,false
vg_31a1e8175a14,685,685,1,Motorcyclists.,answer_variant_review,false
vg_31a1e8175a14,685,686,1,Pedestrians.,answer_variant_review,false
vg_5859d128b4ed,692,692,1,Watch for cyclists or pedestrians who may try to cross the road in front of the vehicle.,answer_variant_review,false
vg_5859d128b4ed,692,1132,1,Watch for cyclists or pedestrians who may try to cross the road in front of the vehicle.,answer_variant_review,false
vg_5859d128b4ed,692,1133,1,Watch for cyclists or pedestrians on the left.,answer_variant_review,false
vg_9c6e6b91408e,695,695,0,A driver may proceed with caution.,answer_variant_review,false
vg_9c6e6b91408e,695,951,0,A driver may proceed.,answer_variant_review,false
